,Age_at_Booking,Booking_to_flight,Booking Year,Booking Month,Booking Dayofweek,Booking Is_month_end,Booking Is_month_start,Flight Month,Flight Dayofweek,Flight Is_month_end,Flight Is_month_start,distance,Class_0,Class_1,From_1,From_2,From_3,From_4,From_5,From_6,From_7,To_1,To_2,To_3,To_4,To_5,To_6,To_7,Time Label_0,Time Label_1,Time Label_2,Time Label_3,Time Label_4
0,53,16,2016,10,2,False,False,11,4,False,False,2054.77,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,34,50,2016,7,6,True,False,9,0,False,False,1434.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,34,3,2016,5,1,False,False,5,4,False,False,539.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,27,8,2016,7,5,False,False,7,6,False,False,1446.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,22,12,2016,12,4,False,False,12,2,False,False,1472.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,10,10,2016,5,5,False,False,5,1,False,False,2042.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
6,67,5,2016,5,4,False,False,5,2,False,False,1446.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7,72,24,2016,4,1,False,False,5,4,False,False,1334.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
8,44,0,2016,11,6,False,False,11,6,False,False,536.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,66,1,2016,4,5,False,False,4,6,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10,77,14,2016,7,4,False,False,7,4,False,False,539.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
11,61,15,2016,2,6,False,False,3,0,False,False,1073.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,33,30,2016,1,5,False,False,2,0,True,False,2191.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
13,26,2,2016,1,5,False,False,1,0,False,False,991.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14,14,13,2016,1,1,False,False,2,0,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,30,9,2016,6,3,False,False,6,5,False,False,1334.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16,68,16,2016,5,3,False,False,5,5,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17,47,17,2016,2,4,False,False,3,0,False,False,1472.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,40,16,2016,12,1,False,False,12,3,False,False,710.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
