Thursday,"Jan 01, 2015",New Year's Day
Sunday,"Jan 04, 2015",Prophet's Birthday
Wednesday,"Jan 14, 2015",Makar Sankranti / Pongal
Monday,"Jan 26, 2015",Republic Day
Tuesday,"Feb 17, 2015",Maha Shivaratri
Friday,"Mar 06, 2015",Holi
Saturday,"Mar 28, 2015",Ram Navami
Thursday,"Apr 02, 2015",Mahavir Jayanti
Friday,"Apr 03, 2015",Good Friday
Friday,"May 01, 2015",Labor Day
Monday,"May 04, 2015",Budhha Purnima
Saturday,"Jul 18, 2015",Eid-ul-Fitar
Saturday,"Jul 18, 2015",Rath Yatra
Saturday,"Aug 15, 2015",Independence Day
Friday,"Aug 28, 2015",Onam
Saturday,"Aug 29, 2015",Raksha Bandhan
Saturday,"Sep 05, 2015",Janmashtami
Thursday,"Sep 17, 2015",Vinayaka Chaturthi
Friday,"Sep 25, 2015",Bakri Id / Eid ul-Adha
Friday,"Oct 02, 2015",Gandhi Jayanti
Thursday,"Oct 22, 2015",Dussehra / Dasara
Saturday,"Oct 24, 2015",Muharram
Wednesday,"Nov 11, 2015",Diwali / Deepavali
Thursday,"Dec 24, 2015",Prophet's Birthday
Friday,"Dec 25, 2015",Christmas
Friday,"Jan 01, 2016",New Year's Day
Thursday,"Jan 14, 2016",Makar Sankranti / Pongal
Tuesday,"Jan 26, 2016",Republic Day
Monday,"Mar 07, 2016",Maha Shivaratri
Thursday,"Mar 24, 2016",Holi
Friday,"Mar 25, 2016",Good Friday
Friday,"Apr 15, 2016",Ram Navami
Wednesday,"Apr 20, 2016",Mahavir Jayanti
Sunday,"May 01, 2016",Labor Day
Saturday,"May 21, 2016",Budhha Purnima
Wednesday,"Jul 06, 2016",Eid-ul-fitar
Wednesday,"Jul 06, 2016",Rath Yatra
Monday,"Aug 15, 2016",Independence Day
Thursday,"Aug 18, 2016",Raksha Bandhan
Thursday,"Aug 25, 2016",Janmashtami
Monday,"Sep 05, 2016",Vinayaka Chaturthi
Monday,"Sep 12, 2016",Bakri Id / Eid Ul-adha
Wednesday,"Sep 14, 2016",Onam
Sunday,"Oct 02, 2016",Gandhi Jayanti
Tuesday,"Oct 11, 2016",Dussehra / Dasara
Wednesday,"Oct 12, 2016",Muharram
Sunday,"Oct 30, 2016",Diwali / Deepavali
Tuesday,"Dec 13, 2016",Milad Un Nabi
Sunday,"Dec 25, 2016",Christmas
