,DayofWeek,Date,Reason
0,Thursday,2015-01-01,New Year's Day
1,Sunday,2015-01-04,Prophet's Birthday
2,Wednesday,2015-01-14,Makar Sankranti / Pongal
3,Monday,2015-01-26,Republic Day
4,Tuesday,2015-02-17,Maha Shivaratri
5,Friday,2015-03-06,Holi
6,Saturday,2015-03-28,Ram Navami
7,Thursday,2015-04-02,Mahavir Jayanti
8,Friday,2015-04-03,Good Friday
9,Friday,2015-05-01,Labor Day
10,Monday,2015-05-04,Budhha Purnima
11,Saturday,2015-07-18,Eid-ul-Fitar
12,Saturday,2015-07-18,Rath Yatra
13,Saturday,2015-08-15,Independence Day
14,Friday,2015-08-28,Onam
15,Saturday,2015-08-29,Raksha Bandhan
16,Saturday,2015-09-05,Janmashtami
17,Thursday,2015-09-17,Vinayaka Chaturthi
18,Friday,2015-09-25,Bakri Id / Eid ul-Adha
19,Friday,2015-10-02,Gandhi Jayanti
20,Thursday,2015-10-22,Dussehra / Dasara
21,Saturday,2015-10-24,Muharram
22,Wednesday,2015-11-11,Diwali / Deepavali
23,Thursday,2015-12-24,Prophet's Birthday
24,Friday,2015-12-25,Christmas
25,Friday,2016-01-01,New Year's Day
26,Thursday,2016-01-14,Makar Sankranti / Pongal
27,Tuesday,2016-01-26,Republic Day
28,Monday,2016-03-07,Maha Shivaratri
29,Thursday,2016-03-24,Holi
30,Friday,2016-03-25,Good Friday
31,Friday,2016-04-15,Ram Navami
32,Wednesday,2016-04-20,Mahavir Jayanti
33,Sunday,2016-05-01,Labor Day
34,Saturday,2016-05-21,Budhha Purnima
35,Wednesday,2016-07-06,Eid-ul-fitar
36,Wednesday,2016-07-06,Rath Yatra
37,Monday,2016-08-15,Independence Day
38,Thursday,2016-08-18,Raksha Bandhan
39,Thursday,2016-08-25,Janmashtami
40,Monday,2016-09-05,Vinayaka Chaturthi
41,Monday,2016-09-12,Bakri Id / Eid Ul-adha
42,Wednesday,2016-09-14,Onam
43,Sunday,2016-10-02,Gandhi Jayanti
44,Tuesday,2016-10-11,Dussehra / Dasara
45,Wednesday,2016-10-12,Muharram
46,Sunday,2016-10-30,Diwali / Deepavali
47,Tuesday,2016-12-13,Milad Un Nabi
48,Sunday,2016-12-25,Christmas
