,Flight Date,DJFUELUSGULF
0,2016-11-04,1.324
1,2016-09-19,1.284
2,2016-05-27,1.37
3,2016-07-24,1.326
4,2016-12-21,1.468
5,2016-05-17,1.357
6,2016-05-25,1.383
7,2016-05-20,1.378
8,2016-11-27,
9,2016-04-10,
10,2016-07-22,1.231
11,2016-03-07,1.096
12,2016-02-29,0.991
13,2016-01-04,1.039
14,2016-02-08,1.018
15,2016-06-11,
16,2016-05-28,
17,2016-03-07,1.096
18,2016-12-22,1.483
19,2016-01-17,
20,2016-02-26,0.935
21,2016-03-13,
22,2016-03-25,0
23,2016-11-12,
24,2016-01-23,
25,2016-03-20,
26,2016-08-05,1.193
27,2016-09-22,1.337
28,2016-03-14,1.068
29,2016-10-21,1.466
30,2016-06-10,1.392
31,2016-10-15,
32,2016-09-15,1.306
33,2016-12-17,
34,2016-05-05,1.203
35,2016-05-13,1.29
36,2016-04-30,
37,2016-01-11,0.925
38,2016-10-02,
39,2016-10-21,1.466
40,2016-09-06,1.296
41,2016-01-31,
42,2016-06-12,
43,2016-07-09,
44,2016-05-22,
45,2016-11-06,
46,2016-02-02,0.936
47,2016-03-31,1.056
48,2016-02-20,
49,2016-02-29,0.991
50,2016-10-08,
51,2016-02-20,
52,2016-02-25,0.943
53,2016-11-28,1.391
54,2016-06-20,1.4
55,2016-01-21,0.835
56,2016-06-02,1.378
57,2016-01-19,0.849
58,2016-10-03,1.451
59,2016-03-07,1.096
60,2016-06-20,1.4
61,2016-06-27,1.326
62,2016-10-27,1.456
63,2016-10-27,1.456
64,2016-05-14,
65,2016-02-08,1.018
66,2016-06-16,1.304
67,2016-11-17,1.321
68,2016-10-15,
69,2016-04-05,0.951
70,2016-10-10,1.465
71,2016-04-13,1.166
72,2016-07-18,1.242
73,2016-01-04,1.039
74,2016-03-26,
75,2016-05-02,1.213
76,2016-05-11,1.264
77,2016-02-13,
78,2016-05-31,1.36
79,2016-03-23,1.095
80,2016-09-08,1.373
81,2016-05-20,1.378
82,2016-08-16,1.333
83,2016-03-17,1.126
84,2016-04-04,0.967
85,2016-09-17,
86,2016-01-03,
87,2016-05-26,1.367
88,2016-05-13,1.29
89,2016-12-28,1.534
90,2016-05-13,1.29
91,2016-03-07,1.096
92,2016-04-03,
93,2016-04-13,1.166
94,2016-05-04,1.202
95,2016-02-25,0.943
96,2016-09-21,1.32
97,2016-09-19,1.284
98,2016-09-24,
99,2016-06-25,
100,2016-11-29,1.351
101,2016-11-27,
102,2016-01-27,0.963
103,2016-01-12,0.912
104,2016-02-18,1.001
105,2016-12-16,1.51
106,2016-03-10,1.09
107,2016-04-12,1.18
108,2016-11-04,1.324
109,2016-02-08,1.018
110,2016-07-31,
111,2016-07-14,1.288
112,2016-08-02,1.131
113,2016-03-25,0
114,2016-11-12,
115,2016-02-25,0.943
116,2016-07-24,
117,2016-06-27,1.326
118,2016-06-11,
119,2016-12-02,1.497
120,2016-09-07,1.321
121,2016-05-09,1.155
122,2016-09-23,1.299
123,2016-01-27,0.963
124,2016-04-19,1.154
125,2016-02-12,1.002
126,2016-09-03,
127,2016-04-12,1.18
128,2016-08-05,1.193
129,2016-02-23,0.902
130,2016-05-07,
131,2016-08-01,1.133
132,2016-07-19,1.255
133,2016-08-21,
134,2016-04-15,1.112
135,2016-09-13,1.319
136,2016-03-21,1.101
137,2016-06-18,
138,2016-01-31,
139,2016-02-16,0.954
140,2016-10-12,1.46
141,2016-08-19,1.384
142,2016-05-26,1.367
143,2016-09-27,1.297
144,2016-01-30,
145,2016-12-18,
146,2016-07-12,1.345
147,2016-01-30,
148,2016-09-04,
149,2016-03-14,1.068
150,2016-09-22,1.337
151,2016-11-06,
152,2016-12-20,1.508
153,2016-06-07,1.418
154,2016-05-08,
155,2016-11-03,1.346
156,2016-11-27,
157,2016-09-26,1.324
158,2016-04-26,1.207
159,2016-03-22,1.14
160,2016-12-06,1.476
161,2016-05-09,1.155
162,2016-09-01,1.274
163,2016-04-20,1.217
164,2016-08-15,1.321
165,2016-12-23,1.519
166,2016-10-02,
167,2016-06-12,
168,2016-03-26,
169,2016-06-20,1.4
170,2016-03-12,
171,2016-04-21,1.185
172,2016-07-21,1.239
173,2016-03-22,1.14
174,2016-05-08,
175,2016-09-21,1.32
176,2016-03-28,1.061
177,2016-07-29,1.144
178,2016-10-18,1.462
179,2016-07-24,
180,2016-02-14,
181,2016-12-17,
182,2016-02-02,0.936
183,2016-05-13,1.29
184,2016-04-16,
185,2016-03-21,1.101
186,2016-07-23,
187,2016-05-30,0
188,2016-11-14,1.272
189,2016-12-03,
190,2016-11-11,1.28
191,2016-02-26,0.935
192,2016-10-30,
193,2016-08-04,1.18
194,2016-02-04,1.041
195,2016-10-27,1.456
196,2016-06-15,1.349
197,2016-11-30,1.444
198,2016-10-29,
199,2016-12-17,
200,2016-09-19,1.284
201,2016-04-01,1.005
202,2016-08-31,1.327
203,2016-02-10,0.925
204,2016-02-26,0.935
205,2016-08-25,1.424
206,2016-06-01,1.373
207,2016-12-14,1.481
208,2016-06-12,
209,2016-10-12,1.46
210,2016-11-22,1.409
211,2016-01-14,0.903
212,2016-05-08,
213,2016-11-06,
214,2016-05-03,1.193
215,2016-02-10,0.925
216,2016-07-15,1.251
217,2016-10-14,1.46
218,2016-09-20,1.286
219,2016-11-12,
220,2016-02-02,0.936
221,2016-10-01,
222,2016-10-25,1.45
223,2016-06-09,1.424
224,2016-12-17,
225,2016-02-20,
226,2016-09-14,1.282
227,2016-07-26,1.192
228,2016-12-21,1.468
229,2016-09-26,1.324
230,2016-07-07,1.302
231,2016-02-09,0.946
232,2016-02-21,
233,2016-04-20,1.217
234,2016-04-25,1.175
235,2016-03-13,
236,2016-11-05,
237,2016-01-30,
238,2016-06-29,1.441
239,2016-10-15,
240,2016-07-21,1.239
241,2016-10-19,1.473
242,2016-10-03,1.451
243,2016-03-13,
244,2016-08-21,
245,2016-08-06,
246,2016-08-13,
247,2016-08-23,1.37
248,2016-09-15,1.306
249,2016-08-05,1.193
250,2016-12-25,
251,2016-06-17,1.366
252,2016-03-30,1.028
253,2016-08-31,1.327
254,2016-01-24,
255,2016-10-14,1.46
256,2016-01-10,
257,2016-01-06,0.994
258,2016-01-04,1.039
259,2016-03-07,1.096
260,2016-10-07,1.465
261,2016-10-14,1.46
262,2016-03-16,1.105
263,2016-10-25,1.45
264,2016-01-11,0.925
265,2016-10-13,1.468
266,2016-11-06,
267,2016-05-23,1.363
268,2016-03-15,1.054
269,2016-02-13,
270,2016-12-13,1.485
271,2016-01-08,0.954
272,2016-06-05,
273,2016-03-24,1.064
274,2016-10-08,
275,2016-09-23,1.299
276,2016-03-07,1.096
277,2016-06-19,
278,2016-01-12,0.912
279,2016-04-15,1.112
280,2016-04-09,
281,2016-04-09,
282,2016-03-05,
283,2016-12-17,
284,2016-04-19,1.154
285,2016-08-12,1.283
286,2016-05-29,
287,2016-02-13,
288,2016-05-08,
289,2016-04-09,
290,2016-03-03,1.002
291,2016-06-16,1.304
292,2016-05-16,1.329
293,2016-05-26,1.367
294,2016-01-03,
295,2016-02-16,0.954
296,2016-08-05,1.193
297,2016-02-04,1.041
298,2016-03-11,1.089
299,2016-10-06,1.49
300,2016-09-03,
301,2016-07-24,
302,2016-07-01,1.424
303,2016-10-03,1.451
304,2016-02-03,1.047
305,2016-08-17,1.361
306,2016-04-27,1.251
307,2016-08-13,
308,2016-02-14,
309,2016-10-20,1.451
310,2016-11-15,1.33
311,2016-06-23,1.407
312,2016-07-28,1.142
313,2016-07-30,
314,2016-04-18,1.119
315,2016-01-03,
316,2016-07-16,
317,2016-06-12,
318,2016-02-14,
319,2016-12-23,1.519
320,2016-10-17,1.447
321,2016-05-12,1.262
322,2016-02-27,
323,2016-07-04,0
324,2016-11-15,1.33
325,2016-12-23,1.519
326,2016-10-02,
327,2016-09-25,
328,2016-08-29,1.4
329,2016-02-14,
330,2016-01-09,
331,2016-04-25,1.175
332,2016-04-02,
333,2016-10-13,1.468
334,2016-01-25,0.865
335,2016-05-07,
336,2016-07-24,
337,2016-04-05,0.951
338,2016-08-07,
339,2016-10-16,
340,2016-04-11,1.12
341,2016-06-30,1.396
342,2016-01-20,0.804
343,2016-04-02,
344,2016-06-20,1.4
345,2016-09-05,0
346,2016-01-22,0.912
347,2016-05-06,1.209
348,2016-08-17,1.361
349,2016-11-19,
350,2016-01-29,1.013
351,2016-01-22,0.912
352,2016-01-06,0.994
353,2016-08-29,1.4
354,2016-05-02,1.213
355,2016-09-30,1.418
356,2016-05-26,1.367
357,2016-12-27,1.543
358,2016-03-25,0
359,2016-09-02,1.278
360,2016-10-25,1.45
361,2016-04-20,1.217
362,2016-08-20,
363,2016-12-17,
364,2016-05-17,1.357
365,2016-01-26,0.909
366,2016-05-27,1.37
367,2016-10-16,
368,2016-09-22,1.337
369,2016-11-11,1.28
370,2016-07-03,
371,2016-07-13,1.279
372,2016-07-03,
373,2016-03-01,0.996
374,2016-05-01,
375,2016-07-31,
376,2016-10-07,1.465
377,2016-02-27,
378,2016-08-10,1.185
379,2016-05-20,1.378
380,2016-07-13,1.279
381,2016-12-21,1.468
382,2016-06-20,1.4
383,2016-07-08,1.302
384,2016-04-30,
385,2016-08-10,1.185
386,2016-07-01,1.424
387,2016-12-22,1.483
388,2016-05-27,1.37
389,2016-07-09,
390,2016-09-30,1.418
391,2016-07-11,1.303
392,2016-11-19,
393,2016-12-25,
394,2016-11-18,1.339
395,2016-05-28,
396,2016-04-03,
397,2016-10-19,1.473
398,2016-12-19,1.5
399,2016-01-04,1.039
400,2016-11-23,1.4
401,2016-02-23,0.902
402,2016-01-23,
403,2016-06-12,
404,2016-03-06,
405,2016-07-02,
406,2016-05-31,1.36
407,2016-05-31,1.36
408,2016-12-25,
409,2016-01-18,0
410,2016-04-01,1.005
411,2016-12-29,1.545
412,2016-01-25,0.865
413,2016-09-18,
414,2016-02-17,1.008
415,2016-09-20,1.286
416,2016-02-23,0.902
417,2016-11-29,1.351
418,2016-12-17,
419,2016-11-22,1.409
420,2016-09-02,1.278
421,2016-06-10,1.392
422,2016-11-14,1.272
423,2016-03-19,
424,2016-06-30,1.396
425,2016-06-13,1.381
426,2016-06-17,1.366
427,2016-11-05,
428,2016-02-03,1.047
429,2016-04-21,1.185
430,2016-07-07,1.302
431,2016-02-21,
432,2016-11-11,1.28
433,2016-10-31,1.395
434,2016-01-25,0.865
435,2016-09-09,1.327
436,2016-07-12,1.345
437,2016-06-10,1.392
438,2016-05-12,1.262
439,2016-02-21,
440,2016-03-14,1.068
441,2016-09-27,1.297
442,2016-02-03,1.047
443,2016-11-22,1.409
444,2016-05-15,
445,2016-09-02,1.278
446,2016-10-31,1.395
447,2016-09-04,
448,2016-03-10,1.09
449,2016-09-09,1.327
450,2016-11-09,1.336
451,2016-01-03,
452,2016-03-01,0.996
453,2016-10-14,1.46
454,2016-02-19,0.957
455,2016-05-08,
456,2016-11-14,1.272
457,2016-04-05,0.951
458,2016-10-12,1.46
459,2016-10-12,1.46
460,2016-03-03,1.002
461,2016-07-22,1.231
462,2016-04-16,
463,2016-01-11,0.925
464,2016-12-26,0
465,2016-02-25,0.943
466,2016-01-10,
467,2016-07-23,
468,2016-11-24,0
469,2016-05-23,1.363
470,2016-07-05,1.358
471,2016-03-23,1.095
472,2016-01-17,
473,2016-08-01,1.133
474,2016-04-15,1.112
475,2016-07-03,
476,2016-11-08,1.325
477,2016-05-22,
478,2016-02-13,
479,2016-12-27,1.543
480,2016-03-11,1.089
481,2016-04-17,
482,2016-02-10,0.925
483,2016-06-16,1.304
484,2016-05-18,1.362
485,2016-05-01,
486,2016-11-10,1.32
487,2016-04-14,1.158
488,2016-10-19,1.473
489,2016-10-10,1.465
490,2016-04-07,1.036
491,2016-10-16,
492,2016-08-12,1.283
493,2016-12-25,
494,2016-03-06,
495,2016-02-01,0.974
496,2016-07-07,1.302
497,2016-12-21,1.468
498,2016-09-20,1.286
499,2016-10-21,1.466
500,2016-12-10,
501,2016-09-11,
502,2016-03-24,1.064
503,2016-05-28,
504,2016-05-25,1.383
505,2016-01-12,0.912
506,2016-03-01,0.996
507,2016-12-05,1.488
508,2016-12-17,
509,2016-12-27,1.543
510,2016-07-29,1.144
511,2016-04-24,
512,2016-12-09,1.451
513,2016-09-10,
514,2016-11-28,1.391
515,2016-09-05,0
516,2016-12-12,1.482
517,2016-03-18,1.11
518,2016-03-21,1.101
519,2016-11-09,1.336
520,2016-07-29,1.144
521,2016-11-22,1.409
522,2016-07-02,
523,2016-09-05,0
524,2016-05-16,1.329
525,2016-05-11,1.264
526,2016-08-02,1.131
527,2016-08-20,
528,2016-10-22,
529,2016-05-13,1.29
530,2016-06-16,1.304
531,2016-08-05,1.193
532,2016-01-27,0.963
533,2016-03-19,
534,2016-01-14,0.903
535,2016-12-16,1.51
