,Flight Date,DJFUELUSGULF
0,2016-11-04 00:00:00,
1,2016-09-19 00:00:00,
2,2016-05-27 00:00:00,
3,2016-07-24 00:00:00,
4,2016-12-21 00:00:00,
5,2016-05-17 00:00:00,
6,2016-05-25 00:00:00,
7,2016-05-20 00:00:00,
8,2016-11-27 00:00:00,
9,2016-04-10 00:00:00,
10,2016-07-22 00:00:00,
11,2016-03-07 00:00:00,
12,2016-02-29 00:00:00,
13,2016-01-04 00:00:00,
14,2016-02-08 00:00:00,
15,2016-06-11 00:00:00,
16,2016-05-28 00:00:00,
17,2016-03-07 00:00:00,
18,2016-12-22 00:00:00,
19,2016-01-17 00:00:00,
20,2016-02-26 00:00:00,
21,2016-03-13 00:00:00,
22,2016-03-25 00:00:00,
23,2016-11-12 00:00:00,
24,2016-01-23 00:00:00,
25,2016-03-20 00:00:00,
26,2016-08-05 00:00:00,
27,2016-09-22 00:00:00,
28,2016-03-14 00:00:00,
29,2016-10-21 00:00:00,
30,2016-06-10 00:00:00,
31,2016-10-15 00:00:00,
32,2016-09-15 00:00:00,
33,2016-12-17 00:00:00,
34,2016-05-05 00:00:00,
35,2016-05-13 00:00:00,
36,2016-04-30 00:00:00,
37,2016-01-11 00:00:00,
38,2016-10-02 00:00:00,
39,2016-10-21 00:00:00,
40,2016-09-06 00:00:00,
41,2016-01-31 00:00:00,
42,2016-06-12 00:00:00,
43,2016-07-09 00:00:00,
44,2016-05-22 00:00:00,
45,2016-11-06 00:00:00,
46,2016-02-02 00:00:00,
47,2016-03-31 00:00:00,
48,2016-02-20 00:00:00,
49,2016-02-29 00:00:00,
50,2016-10-08 00:00:00,
51,2016-02-20 00:00:00,
52,2016-02-25 00:00:00,
53,2016-11-28 00:00:00,
54,2016-06-20 00:00:00,
55,2016-01-21 00:00:00,
56,2016-06-02 00:00:00,
57,2016-01-19 00:00:00,
58,2016-10-03 00:00:00,
59,2016-03-07 00:00:00,
60,2016-06-20 00:00:00,
61,2016-06-27 00:00:00,
62,2016-10-27 00:00:00,
63,2016-10-27 00:00:00,
64,2016-05-14 00:00:00,
65,2016-02-08 00:00:00,
66,2016-06-16 00:00:00,
67,2016-11-17 00:00:00,
68,2016-10-15 00:00:00,
69,2016-04-05 00:00:00,
70,2016-10-10 00:00:00,
71,2016-04-13 00:00:00,
72,2016-07-18 00:00:00,
73,2016-01-04 00:00:00,
74,2016-03-26 00:00:00,
75,2016-05-02 00:00:00,
76,2016-05-11 00:00:00,
77,2016-02-13 00:00:00,
78,2016-05-31 00:00:00,
79,2016-03-23 00:00:00,
80,2016-09-08 00:00:00,
81,2016-05-20 00:00:00,
82,2016-08-16 00:00:00,
83,2016-03-17 00:00:00,
84,2016-04-04 00:00:00,
85,2016-09-17 00:00:00,
86,2016-01-03 00:00:00,
87,2016-05-26 00:00:00,
88,2016-05-13 00:00:00,
89,2016-12-28 00:00:00,
90,2016-05-13 00:00:00,
91,2016-03-07 00:00:00,
92,2016-04-03 00:00:00,
93,2016-04-13 00:00:00,
94,2016-05-04 00:00:00,
95,2016-02-25 00:00:00,
96,2016-09-21 00:00:00,
97,2016-09-19 00:00:00,
98,2016-09-24 00:00:00,
99,2016-06-25 00:00:00,
100,2016-11-29 00:00:00,
101,2016-11-27 00:00:00,
102,2016-01-27 00:00:00,
103,2016-01-12 00:00:00,
104,2016-02-18 00:00:00,
105,2016-12-16 00:00:00,
106,2016-03-10 00:00:00,
107,2016-04-12 00:00:00,
108,2016-11-04 00:00:00,
109,2016-02-08 00:00:00,
110,2016-07-31 00:00:00,
111,2016-07-14 00:00:00,
112,2016-08-02 00:00:00,
113,2016-03-25 00:00:00,
114,2016-11-12 00:00:00,
115,2016-02-25 00:00:00,
116,2016-07-24 00:00:00,
117,2016-06-27 00:00:00,
118,2016-06-11 00:00:00,
119,2016-12-02 00:00:00,
120,2016-09-07 00:00:00,
121,2016-05-09 00:00:00,
122,2016-09-23 00:00:00,
123,2016-01-27 00:00:00,
124,2016-04-19 00:00:00,
125,2016-02-12 00:00:00,
126,2016-09-03 00:00:00,
127,2016-04-12 00:00:00,
128,2016-08-05 00:00:00,
